task: 4461,1936 | cost: 47.277850502723595
task: 3494,4737,3935,5114 | cost: 358.58448349972605
task: 4125,70,2426,3120,4101,2739,3792,3635,4624,3185,1554,3461,4987 | cost: 4892.828946500231
task: 4945,551,4005,5003,2799 | cost: 316.94730399976834
task: 3937,4497,4955,4505,1330,2232,643 | cost: 71.84504399992875
task: 103,4079,1487 | cost: 427.23844650026876
task: 2248,2217,59,5063,1223 | cost: 2554.276369501167
task: 4304,3779,893,5129,4447,4111,3442,2192,964,1894 | cost: 1175.0099179989775
task: 115,4251 | cost: 36.38586350280093
task: 2242,649,1183,4755,3248,1243 | cost: 2228.211496003496
task: 2388,4291,1810,3230 | cost: 128.64106400229502
task: 3232,4984,4491,3283,573,5055,4028,2876,1749,1471,3855,1850,3953,2373 | cost: 3221.154552502412
task: 1213,2121,3902,4531,3020,3685,5065,2955,2593 | cost: 980.4282615004922
task: 72,2380,311,3802,635,3538,4785,930,3619,3753,2672 | cost: 3571.5184589971614
task: 3326,1761,1120,179,1831,3084,1774,5048 | cost: 1643.8940794978407
task: 3629,2201,2672,1937,2027,4922,803,2734,1182,4126,1979,1533 | cost: 776.4235240028938
task: 3684,3118,1590,1794,4399,3783 | cost: 299.40136749792146
task: 1311,4859,4290,4981,3779,4742 | cost: 547.9486264994193
task: 4688,3353,3954,1002,642,1408,1232,2806,1048,3509,3651,4133,4957,3771 | cost: 3328.8059215010435
task: 4498,3458,403,5001 | cost: 341.63743749741116
task: 951,870,4047,1000,1405,4211,562,2894,2626,3250,3633,51,3441,3967 | cost: 2422.2860935005883
task: 3230 | cost: 4.583756497595459
task: 1808,1414,3170,4117 | cost: 1316.6566734980734
task: 1614,3050,4511,1995,3154 | cost: 248.43554249673616
task: 22,4346,3686,1659,3486,2066,4523,2919,1616 | cost: 2570.203177998337
task: 3458,2983,1670 | cost: 83.1692555002519
task: 3844,4722,4975,4497,1951,209,4784,4069,2438,4791,2922 | cost: 1299.465803502244
task: 4910,2796,2562,3521,185,3477 | cost: 568.3323650009697
task: 5068,1719,3690,1365 | cost: 1545.93049399773
task: 5013,3720,3849,2704,4558,3247,4247,2641,3177,1545,1477,3313,3577,1801,4447 | cost: 4328.96263099974
task: 4987,4933,3328,3067,1742,3868,3459,3742,1001,51,2661,6,3998,167 | cost: 3327.7720830010367
task: 119,4421,4486,2355,2840,2953 | cost: 764.1580060007982
task: 3316,4505,3730,4585,4385,1428,4653,645,3886,946,1742,2040,4352,4251 | cost: 2612.313613495644
task: 3171,914 | cost: 1251.0956160003843
task: 4669,4304,3033,840,3541,4932 | cost: 1035.352533999685
task: 4791,5118,5084,1613,1077,2360,2757,4371,2528,5039,1597 | cost: 1520.1661059982143
task: 2054,1405,3555,1218,3612,2784,2344,2190 | cost: 928.2915055009653
task: 3934,2556,1724,3757,2611,2058,2261,2330,3881,2527 | cost: 1711.9766440009698
task: 3748,163 | cost: 532.6091645038105
task: 4232,2548,1716,1820,3429,4023,3393,2219,1522,4293,4374 | cost: 636.5063729972462
task: 3434,2228,4708,1637,2563,3214,2837,5019,3070,4036,4187,4706,4903,4309,3940 | cost: 2030.203058002371
task: 714,4951,2796,3325,2736,1956,3770,4165,5018,1755 | cost: 798.6149954995199
task: 288,3289,1021,2866,3182,107,3626 | cost: 977.7348315001291
task: 4398,4254,3641,4486,3574,2274,1939,1675,3375 | cost: 234.4327515020268
task: 939 | cost: 189.15554400518886
task: 3267,1175,3923,2639,3047,5057,1670,715 | cost: 2422.406391502591
task: 1845,3602,4274,3969,856,4923,2763,4226,1917,1741,2293 | cost: 2585.65741199709
task: 4097,2634,4326,5132,4243,3728,3129,1148,2251,3743,2277,3225,2287,647 | cost: 1334.7569785000815
task: 4139,2733,330,4436,645,4762,4286,3503,4424 | cost: 638.3076979982434
task: 3675,2666,213,3000,3895,2900,98,3580,911,1449,5035,3674 | cost: 1397.5038649987255
task: 4224,3445,2715,4380,3549,1859,3893,5100,3238,543,4159 | cost: 1482.7462610046496
task: 4517,4686,3566,4702,4669,4741,3614,1505,1870,221,2426 | cost: 823.0157710022468
task: 4617 | cost: 3.938514000765281
task: 1448,1194 | cost: 44.35699500027113
task: 4802,2119,3907,1418,1035,1518,4447,72,5119,4974,4129,3447,3319,142 | cost: 5575.413882499561
task: 175,1121,3481,2294 | cost: 335.7535885006655
task: 2314,4336,4012,684 | cost: 1031.6910615001689
task: 1949,5111 | cost: 161.46390799622168
task: 3579,3453,4199,3131,3007,2647,3668,4999,1547,1619,4328,1660,2134,4116 | cost: 3460.3497429998242
task: 1788,1892,3166,4098,4827,1798,4680,74,2637,1239,2088,2348,1476 | cost: 3009.137897999608
task: 3229,3575,2112,1912,3299,1720,3469,3132,2087,997,4756,2953,1810 | cost: 1807.6653075040667
task: 4032,542,2920,2378 | cost: 927.9859179987398
task: 4953,2424,5096,2598,4162,1349 | cost: 821.3463805004722
task: 464 | cost: 41.80410700064385
task: 1399,1656,2454,2179,2461,3217,3702,4753,5082 | cost: 1390.2562220027903
task: 2236,4398 | cost: 772.2054785008368
task: 1873,4150,4608,4976,5003,2954,983,564,1818 | cost: 1809.6824475032918
task: 2712,4966,2245,934,2022,1725,5125,4370,2913,1843 | cost: 1680.3043535001052
task: 4087 | cost: 3.890302003128454
task: 3103,4109,2423,4306,1651 | cost: 399.910109998018
task: 2562,4807,1848,2477,4884,3835,4258,4062,4940,1446,1599,3206,3160,2715,2066 | cost: 971.4641114987899
task: 2769,3841,2813,1998,1583,3216,2925,2543 | cost: 2050.3332004991535
task: 4341,4807,4892,4291,1365,1764,3084,1833,1524,2629,3134 | cost: 2612.1686004953517
task: 4541,4927 | cost: 134.84540050194482
task: 1183,4920,4042 | cost: 207.59732999431435
task: 585,5008,977,3943,968,4495,1902,808,1779,3519,1464,2968,1453 | cost: 1322.9655155009823
task: 4564,2846 | cost: 53.409322499646805
task: 2257,2117,4700,2353,2013,2112 | cost: 671.3061529990227
task: 4583,4884,2730,863,4225,4400,3446,3638 | cost: 1834.089686999505
task: 1002,2385 | cost: 150.21799050009577
task: 2127 | cost: 3.55490850051865
task: 2929,974,2756,2951,3966,894 | cost: 3347.726132498792
task: 4589,1019,952,5098,369,3830,4478,1199,2751,4679,1985 | cost: 940.4859775022487
task: 4946,3205,3952,1186,2028,2381,1395 | cost: 1858.8952904974576
task: 869,2863,2847,4834,2808,4207,687,2846,4247 | cost: 2211.0456960035663
task: 592,4198,2380,2139,1448,661,1164,1174,4528,5046 | cost: 765.9328465015278
task: 1982,402,4619,1260,4880 | cost: 219.5825960006914
task: 1909,3601,4395,1945 | cost: 93.67482949892292
task: 1135,3538,674,167,5012,4490,4222,1050,1091,3544,3570,554 | cost: 1728.4794315019099
task: 2741,4697,2487,3507,3406,3782,4701,607,4296,1512,2950 | cost: 2199.753993500053
task: 3823,1306,3958,3743 | cost: 285.0216984988947
task: 4356,2152,1498,3958,4277,3242,5032,3472,4653,3475,4617,3763 | cost: 667.6834335012245
task: 1058,1781,821,1178,1716,3658,1698,3798,1951 | cost: 1291.8732805010222
task: 2230,1880,2516,4068,1766,2691,1420,1716,1417 | cost: 394.6682130008412
task: 1035,1393,4187,4729 | cost: 226.2377570004901
task: 4821,2727,3617,3662,2562,2129,2672,1893,4803,5018,1535,2110,2448,2524 | cost: 1659.4002954952884
task: 5089,2045,3787,4815,4385,2929,3281 | cost: 310.47397699876456
task: 641,679,3611,934,2376,2029,4494,3127,4298,4136 | cost: 1336.7715400017914
task: 1426,3511,2196,4356,3296,5026,4292,2748,125,4974,3883,754,3064,3357 | cost: 4296.144435997121
task: 5049,5009,4977,3959,4914,1659 | cost: 427.21524499938823
task: 756 | cost: 1104.9995784997009
task: 2590,5059,2106,3022,2731,651,3735,1242,4950 | cost: 792.9666304953571
task: 4634,4535,3683 | cost: 118.52812099823495
task: 1543,4952,3001,2259,1199,927 | cost: 2794.5426200021757
task: 1335,3420,4581,4173,1443,4640,2730,1877,3807,5134,3965 | cost: 1009.8962364972977
task: 3922,793,4878,2574,4159,3155,1853,3305 | cost: 691.8060819989478
task: 4540,210,3869,1406 | cost: 631.6437459972803
task: 462,1296 | cost: 13.43327199720079
task: 2328,2419,2799,3041,4447,4688,2439,2733 | cost: 1487.5005754947779
task: 2620,3905,551,4635,2819,2366,3113 | cost: 872.0731504981813
task: 5080,554,1641,4997,5133,2152,194 | cost: 231.06846299924655
task: 281,1852,4389,1233,4804,3800,1493 | cost: 1041.0820880024403
task: 1455,3482,3492,3697,2345,133,3990,4227,4900 | cost: 1479.9665709979308
task: 2803,4756,1689,4614 | cost: 174.93493099755142
task: 1098,3371,4729,4206 | cost: 654.2184239988273
task: 4035,161,562,3215,4996,3520 | cost: 1312.7613455035316
task: 1316,110,2350,727,4051 | cost: 1463.716566497169
task: 4992,574,2492,2387,4379,4243,1050,2614,237,4401,4318 | cost: 2096.537752997392
task: 4312,3729,1946,2945,3608,3494,745 | cost: 2201.2990109979
task: 4072,3552,4407,841,3892,3109,4179,4038,1440 | cost: 839.8797775007552
task: 4960,4661,1391,2093,2781,4226,2688,1868,95,992,3798 | cost: 779.6243410011812
task: 3561,1724,2924,703 | cost: 1061.1611815002107
task: 549,4573,4781,1939,2692,856 | cost: 535.5415780031763
task: 2160,163,4166,1842,3977,2027,4111,981,2606 | cost: 3624.9268675019266
task: 1185,2890,1855,1364,2442,3735,3467,4930,4375,4800,4024,4375,2968,536,4076 | cost: 1112.1074109978508
task: 1877,3987,4798,2356,4297,985,4624,1373,1408,4860,2288,2379 | cost: 2212.2398214996792
task: 754,678,3099,4825,867 | cost: 893.7613664966193
task: 5125,2956,4399,4757,938,2381,1755,4966,924,4562,3580,3400,4732 | cost: 2086.040996997326
task: 2108,2176,2058,2893,3435 | cost: 146.71045100112678
task: 2456,3687,2156,4806,2296,4446,2435,4796,5088,4275,4912,1715,3524,1233 | cost: 2532.0904289983446
task: 588,4989,1489,4270,4788,4724 | cost: 841.9429884997953
task: 2447,513,2273,4211,4036,3239,3698,53,1771,5073,2729,3282,1605,2572,3375 | cost: 4768.964657498145
task: 2363,179,3234,3762,538 | cost: 600.3674414969282
task: 2681,4548,4221,1968,803,1573,3909 | cost: 472.1240559993021
task: 2901,1683,3324,3617,4325,108,3423,5076 | cost: 1047.9799739987357
task: 3238,3552,2081,3977,5037,2047,3326,3414,2583,3174,2129,1913,2285,1784,3787 | cost: 2264.1814109992993
task: 2460,3842,3944,3554,3928,4975,4863,4692,1333,2161,1775,1280 | cost: 1984.911279003427
task: 827,2345,1835 | cost: 94.94894550152821
task: 3315,1765,3959,2710,2715,749,4120,4365,997 | cost: 3309.752897002909
task: 3540,4624,4918,3456,3101,637,952,2180,3008,3606,3073,2076,1368,4363,4278 | cost: 1140.096135000931
task: 4052,3995,4199,1818,4332,4634,3452,2594 | cost: 627.7766269995482
task: 754,3054,1532,2774,2064,2120,3981,2962,168,4807,4453,1017 | cost: 1556.9755504984641
task: 4530 | cost: 67.93550049769692
task: 345,3875,4858,1048,1071,3646,3564,4911 | cost: 714.9281769998197
task: 2130,2858,3178 | cost: 173.02145799840218
task: 3263,3249,4118,975,4642,1506,1033,1640,786,587,2106,4912 | cost: 2690.164775500307
task: 2231,784,2218,3149,4663,1798,4703 | cost: 1056.8538365005224
task: 4991,2192,157,3331,2716,2573,1617,3151,3325,4916,3805,4042,1862 | cost: 4329.732109501492
task: 4012,4902,3450,2693,3667,4178 | cost: 938.9290209983301
task: 3069,3927,4091,953,4472,3616,1096,2476,1838,714,2098,4764,989,4730 | cost: 1618.1728135015874
task: 1318,3571,3473 | cost: 302.20650299816043
task: 1620,3653,3959 | cost: 40.251241996884346
task: 3516,3142,2688,3523,3544,5114,2023 | cost: 1124.9633875013387
task: 2388,2403 | cost: 673.2903804950183
task: 3487,93,3810,1853,3183 | cost: 2241.3760119998187
task: 2547 | cost: 7.887237999966601
task: 1632,4169,4346,4329,1411,2366,2712,2565,3702,71,3293,4364 | cost: 3911.1871145032637
task: 3043,1423,4205,604,2426,3391,4526 | cost: 1108.5691584994493
task: 2212 | cost: 12.714042997686192
task: 463 | cost: 81.85697850058204
task: 2651,3274,1141,1170 | cost: 653.6372419977852
task: 3513,1678,2474,4851,2832 | cost: 1437.0903670023836
task: 2771,516,2361,549,3492,2940,1760,4605,1526,267,12,2175,1325 | cost: 2581.4722835020802
task: 5044,2261,3778,3371,1146,3306,3635 | cost: 275.8133294955769
task: 1761,148,4828,5125,2635,3620,4027,2092,2281,4391,2644,760,2453,711 | cost: 2889.5612900014385
task: 3351,3773,3125,598,1100,4837,3193,650,3963,5113,3140 | cost: 417.48026899585966
task: 3283,104,4293,3522,4795,4755,3983,3743,4834,352,101,2276,2658,4191 | cost: 1528.4815720006009
task: 3528,2431,22,3527,4903,4175,2426,2664,4762 | cost: 1863.716439002019
task: 2331,2007,4648,3696,3569,3529,1999 | cost: 590.3375794950989
task: 1261,3464,155,4216,2558,4278 | cost: 747.5724440046179
task: 2831,4463,167,674,3433,1187,2561,2868,4706,4276 | cost: 712.4279869967722
task: 4989,3404,1599,3739,2281,4506,841,5105,1182,54,3572,3198,4033 | cost: 1680.2275704976637
task: 442,3434,3510,1922,3961,3915 | cost: 945.6312544971297
task: 4282,3953,82,2376,4234,3553,915 | cost: 3475.840872997651
task: 1926,3884,3032,2667,4815,3900,3572,676,4983,2742,2684,4618,1071 | cost: 673.3147594968614
task: 2969,3086,2480,2656,3273,4564,3090,2205 | cost: 1177.7901369969186
task: 4459,2098,2326,4299,2924,1813,3620,4912,3408,1775,4139,3839,4795 | cost: 1493.2902290020138
task: 3469,3266,954,2952,1462,2608,4264 | cost: 1479.1637585040007
task: 1831,1674,2393,2846,3164,2595,1058,4238,2317,5087,2801,2932,2424,9 | cost: 2133.380004499486
task: 79,2254,4653,4759,147 | cost: 1238.2845464999264
task: 1747,4992,1814,3845,1943,67,1446,2410,3453 | cost: 3625.2181919990107
task: 2498,1192,1417,3635,3264,4772,639,3691 | cost: 484.96881750179455
task: 4892 | cost: 180.74030350180692
task: 4785,16,4806,4837 | cost: 4977.4507519978215
task: 3827,3431,2003,71,1797,1760,2802,1544 | cost: 3965.72967999964
task: 3458,2743,1854,1771,3706,1987,908,3769,1986,2204,4354,4318 | cost: 2620.832093500212
task: 1258,3077,3664,3432,4236,4116,672 | cost: 1367.4121400035801
task: 2690 | cost: 142.99977849805146
task: 4348,737,2680,660,3548,3613,4457,3645,3912,1558 | cost: 1631.561441499798
task: 85,5130,2170,5090,3452,4250,1838,4099,1075,1903,580,2301,2658,2491,4218 | cost: 1373.9996879958198
task: 4321,4706,948,2836,5076,3637,4667,1317,480,213,3556 | cost: 1216.1148199993477
task: 1955,308,2269,3851,672,5026,167,940,3578,1375,2358,651,5097 | cost: 2458.8955195031303
task: 2114,2097,4949,3792,3620,971,4757,1418,4522,2985,1191,3627,3040,3238 | cost: 1766.3138729985803
task: 2718,2243,1505,4216,5088,2109,5042,4173,2485,27,3781,3360,2801,3460,1619 | cost: 3719.6003870012646
task: 4453,1954,4456,3938,611,3160,4904,4086,557 | cost: 1452.1998340023856
task: 1491,9,3798,2611,2687,566,1463,1744,4299,2577,1442,3728 | cost: 2358.903595501033
task: 3830,1774,95,4085,4225,715,4405,586,1553,1651,4246,2463,4201,1420,4922 | cost: 1576.5089329979673
task: 1646,95,3276,3704,101,4680,2574,4142,1305,3179,2707,4823,4942,5111,3301 | cost: 2038.627122001344
task: 4998,4219,4881,3615,1321,3018,1539,2801,4826,3555,3493,4752,2916 | cost: 742.8581180029141
task: 3496,1711,2876,399,1955,4868 | cost: 1146.7042545009463
task: 1856,2951,2516,2618,4237,53,573,3846,3818,5075 | cost: 2433.2248869977775
task: 2966,441 | cost: 160.64755500337924
task: 1341,2440,2533,5060 | cost: 199.84420800028602
task: 3957 | cost: 3.8852279976708815
task: 3042,3542,4548,1016,1614,3199,3755,4236 | cost: 608.6095934988407
task: 2542,33,4907,3383,3830,2958 | cost: 431.9612015024177
task: 2816,4357,669,4810,282,4058,595,4686,1516,1062,4320 | cost: 2469.0773429974797
task: 1276,1819,1106,2252 | cost: 345.10040850000223
task: 4180,3285,1088,4824,4498,3211 | cost: 700.4376814984425
task: 3487,2030,1980,1930,4448,4819,2557,2347,1110 | cost: 1357.2238009983266
task: 2367,4528,815,714,1582,3036,3291 | cost: 761.2755999980436
task: 3385,1745,2726,3635,3314,1745,3242,896 | cost: 933.945123997546
task: 1923,4873,4839,3516,1230,3831,3574,2222,1072 | cost: 675.5341695024981
task: 2222 | cost: 81.91914100098074
task: 834,1931,4121 | cost: 144.7531310004706
task: 1147,3827,3105,1863,2131,2240 | cost: 2145.5408239999088
task: 147,3756,4316,3847,4455,4679,577 | cost: 425.92968399912934
task: 2116,3881,4728,3130,3561,5036,4210,4266,2103,667,2189,2075,2245,1435,2684 | cost: 1372.838289502397
task: 2030,3734,1082,4055,2270,4158,3703,1327 | cost: 230.20747099872096
task: 3262,2453,3171 | cost: 1971.419765999599
task: 4222,2680,4875,4209,492,3106,1062,3478 | cost: 529.4887545023812
task: 2262,2907 | cost: 48.79862250527367
task: 1718,5028,150,1621,3621,127 | cost: 1542.273959999875
task: 4381,3574,2139,557,1844,3986,4517,1437,3957,3334,3054,3782,2342 | cost: 1031.225741502567
task: 165,3434,2626,3676,2384,1081,4770 | cost: 1175.12298499787
task: 3309,2044,2758,3441,4097,1608,4579,4758,125,3125 | cost: 1956.5232489985647
task: 556,4478,2588,2967,3013,3904 | cost: 852.2300474978692
task: 2228,4274,2621,282,3734 | cost: 1034.2964295050479
task: 4427,3640,3955,3516,3611 | cost: 718.0635855002038
task: 3343,1918,3996,99 | cost: 510.11541949992534
task: 2650,4141,1312,1418,3923,661,5048,5049,2385,4810,1499,3219,4246,3852,1965 | cost: 2721.7282179990434
task: 1620,4143,670,4344,1425,4669,2164,3795,3761 | cost: 1003.682819500682
task: 2951,3929,4554,1851 | cost: 83.09838000059244
task: 2033,4378,760,3661,3967,3188,2752,3438,555,3888,3908,4500,2616,1464,2254 | cost: 2197.0406095024373
task: 2108,490,3947 | cost: 561.2549790021149
task: 2034,1024,4409,2511,569,4347,1094,1953,1377 | cost: 1232.8334494959563
task: 3788,4451,4463,4889,4073,4630,4376,4146,1055,1586,599,4412,358,3332,1296 | cost: 2237.903920497047
task: 335,3101,3251,1405,4993,1371,4445,1960 | cost: 1734.8465335016954
task: 2678,2084,5082,2749,2612,4257,2006,3257,3225,4751,4100,729,1499,1809,1370 | cost: 3121.8516535009257
task: 4384 | cost: 5.198383500101045
task: 4323,4648,5060,2145,4950,2739,4221,5055,1627 | cost: 1198.725550500967
task: 2675,4984,564,1891,1152 | cost: 379.1856159987219
task: 948,4857,1933,3832 | cost: 397.11440250175656
task: 3029,3155,51,788,4817,4929,3022,3822,1329 | cost: 3100.804297002469
task: 4560,1780 | cost: 154.21087499998976
task: 4508,3356,2537,4300,1724,3282,3337,4244,4873 | cost: 2775.2974505019665
task: 3955,3152,2404,2492,2277,2992,4019,681 | cost: 1491.5961340011563
task: 4686,4429,3514,4539,4872,2402,4075,2024,3890,4186,905,1879,4915,2685 | cost: 3942.2726164993946
task: 4132,4799,4327,950,4587,1745 | cost: 1898.481937001634
task: 4854,2254,4201,4565,2230,972,4515,1885,4215,3862,992,4011,3268,4513 | cost: 2379.0324544970645
task: 2476,2367,1533,4612,3669,4297 | cost: 360.04578749634675
task: 4162,4254,1359,3527,3919,4325,558,3459,4287,3591 | cost: 1581.735193503846
task: 1372,2469,658,3622,2282,3060,2751 | cost: 398.83005099909496
task: 5110,191 | cost: 280.55053999923985
task: 4421,4878,2254,2019,3409,4499,1021,3720,3178,3081,3854,4179,3423 | cost: 1213.1814820022555
task: 1360,3940,3573 | cost: 541.4435170023353
task: 1487,575,3523,819,3579,3667,664 | cost: 1025.007866002852
task: 3130,1974,5096,3811,3148,2527,1105,861,3139,2123,3245 | cost: 1383.897537500161
task: 611 | cost: 362.8135159997328
task: 1108,1587,1722,3603,3678,2640,3567,2639,4917 | cost: 3455.6779929989716
task: 4176,3734,2168,4607,4327,4740,4579,2539,576,173,4433 | cost: 1186.4113209994684
task: 2029,2173,4624,3974,4004,2229,1850,2892,4811,5094,204,2511,3828,4104 | cost: 1658.8526390041807
task: 1157,3153,1878,3575,821,3178,2660,4564,4913,4729 | cost: 1375.144794499647
task: 3504,883,455,2752,2146,4818 | cost: 2140.46082799905
task: 1471 | cost: 518.0912835021445
task: 4397,4367 | cost: 716.3061134997406
task: 4731,3505,3639,4285,3278,559,4999,3835,4812,4699,1496,4919,4933,2050 | cost: 1832.059925502108
task: 4557,561,925,379 | cost: 398.5909304974484
task: 2487,2631,4948 | cost: 519.9622205000196
task: 3128,1357,5132,4787,1570,4451,4744,4365,4387 | cost: 162.61970550112892
task: 4152,4318,1010,3684,4997,2714,3479,4721,1722,3379,1462,2578,3815,3960 | cost: 2432.583470501413
task: 3336,2333,5004,3538,3312,2998,4205,2820,3536 | cost: 1436.1561195000832
task: 4732,1887,2839,2065,1587 | cost: 1115.514176999568
task: 3702,4559,1442,4276,146,1409,1975,1861,3246,3581,3852,3769,46,3964 | cost: 3200.3712660007295
task: 2579,4855,3439 | cost: 169.5133440043719
task: 632,3382,4689,3171,4755,3201,3780,551,4818,3235,2942,5124,3178,1893 | cost: 1366.7385699955048
task: 570,1919,5020,5014,2347,1757,4789,1181,3184,3088,2726,924,4790,4773 | cost: 1946.977268500632
task: 4505,1790,1529 | cost: 165.2644949972455
task: 4230,2315,1025,2197,4461,1968,4377,1436,2941,3453,2399 | cost: 2415.9306430010474
task: 387,4352,1956,139,1705 | cost: 926.3244720023067
task: 3869,4522,2901,1212,3093,3870,3703,2410 | cost: 2001.874001500255
task: 1149,4684 | cost: 61.46623850509059
task: 1228,327 | cost: 99.58697199908784
task: 3244,3709,679,86,3698,4469,4798,2842,2651,982,1563,4963,29,1858,3242 | cost: 6137.8235454976675
task: 2945,5076,4871,1530,1369,3409,2522,1433,95,2860,2621 | cost: 818.282446001831
task: 2511 | cost: 40.86599700167426
task: 739,4420,173,1452,116,1394 | cost: 1321.5537425021466
task: 3746,4646,2135,3994,1234,3513,1586,4372,1044 | cost: 1430.4083509996417
task: 1405,4782,535,4151,1910,2228,4219,81,1935,1254,4082,1608,4683,4091 | cost: 1162.6396430001478
task: 1500,4819,2091,4198,4779,2730,4657,4015 | cost: 496.5725745023519
task: 2043 | cost: 7.2436775008100085
task: 268 | cost: 658.1155839994608
task: 72,136,1796,1410,667,2624,3500,1248,4398,4422,1514,940,3714,931 | cost: 4875.574797504669
task: 3500,2355,1983,654,4527,2492,3568,1827,3183,2795 | cost: 867.7032725026947
task: 3924,4946,4874,3299,5080,2828,2641,2208,5124,2535,3458,4803,3803,3338 | cost: 1578.9750035000907
task: 761,5121,2646,1881 | cost: 140.63647450166172
task: 2226,5088,377,5119,2039,2673,4081,1868,4469 | cost: 818.9109755003301
task: 5016,3116,4101,3398,1152 | cost: 420.1686045016686
task: 3837,3855,4199,33,2603,4040,2653,1257,4678 | cost: 1519.761973995628
task: 896,4525,2050,1448,1452,3992,3599,2896 | cost: 295.06169600063004
task: 828,730,2635,4306 | cost: 605.0639285022044
task: 3478,3166,4847,1700,4925,3087,3439,1843 | cost: 276.86589749646373
task: 3548,4017,2828,4579,4280,4108,4251,4863,3925,2635,3731,620,3842,4715 | cost: 1205.6618534988957
task: 3179,3759,2800,3947,3462,3206,2465,3240,3242,1843,3418 | cost: 2373.909461501171
task: 893,3775,1338,4872,3959,4817,2849 | cost: 344.85945599590195
task: 730,589,1476,4163 | cost: 437.11921050271485
task: 2538,1966,4395,5015 | cost: 498.63277500116965
task: 196,1269,3296,894,4299,3431 | cost: 3716.5187589998823
task: 2250,2723,4324,2096,1722 | cost: 2056.722417499259
