task: 2178,2787 | cost: 32.4196390000111
task: 4750,3401,4505,215,1739 | cost: 435.80486050001355
task: 2260,4969,3431,679,1687,4960,2732 | cost: 814.3455149999568
task: 3698,3514,3941,3297,3833,667,930,85,932,2648 | cost: 1216.8854559999431
task: 3103,3191,3495,296 | cost: 398.77198699997507
task: 3199,4504,5055,5099 | cost: 49.74321649996227
task: 3072,1708,1003,595,2322,2812,559,3491,4184,4063,2265,2949,1004,3787 | cost: 506.9588080000358
task: 4540,2881,2186,3839,2031,543,3923 | cost: 553.2153455000071
task: 476,4492,3138,2004 | cost: 184.1511214999514
task: 1450,2494,1132,3385,4598,1784,5074,650,3431,3967,4207,3181,1408 | cost: 700.952771499999
task: 4261,3583,786,4643,442,4509,53,647,3294,553,3328 | cost: 1525.8381335000308
task: 1842,3795,4654,650,4830,1781,2458,3399,4890,1988,3916,4909 | cost: 597.7780495000502
task: 4896,2843,216 | cost: 524.5301160000508
task: 97,1433,2361 | cost: 69.28757899999027
task: 2576,2970,1868,4649,2817,745,1867,2019,3493,202,1771,1931,4058 | cost: 1121.0145519999628
task: 2804,3547,2282,4480,1297,3707,3029,1749,4559 | cost: 304.5082809999826
task: 1409,2855,1735,2518,1995,3664 | cost: 887.7883819999397
task: 1928,2003,4281,2112 | cost: 338.8314869999931
task: 3788,695,3625,2025,3204,4956,1090,941,3732,2741 | cost: 1825.6057859999828
task: 2408,5055,3206,5055 | cost: 217.4855760000014
task: 3729,4731,4606,2304,1440,4716,3789,4522,1721,3461,3235,3595,1301,4881,2681 | cost: 970.1793629999429
task: 1348,1282,2770,3421,4710,4648,3864,4736 | cost: 142.43813900003488
task: 2390,2705,4166,2470,733,1042,589,1249,4202,5007,97,4518,3112,1721 | cost: 866.1302054999851
task: 4576,2755,4186,1053,733,1333,1610,4957,4838,2707,1606,2648 | cost: 1079.312221500004
task: 4426,3358,2932,5001,1395,5128,2840,4926,4152,1777,4695,3210,1454 | cost: 597.5848154999994
task: 2669,3464,1033,3907,2310,140,3081 | cost: 315.772218500058
task: 4855,3380 | cost: 19.91988549997359
task: 2812,4413,1707,4739,1780,4333,4602,5033,107,88,1507,1982,2044 | cost: 1475.5996215000096
task: 3644,4491,281,1413,1079,3670,2397,3714,4636,4177 | cost: 257.90024349993246
task: 938,1273,2254,96,2343 | cost: 413.4638280000331
task: 4114,2279,2766,564,2240,4333,4385,4316,4313 | cost: 1383.877759499967
task: 778,4457,3024,1273,2546,3485,4588,2581,4132,3533 | cost: 1122.8825270000016
task: 867,5027,521,4015,3105,2759,3311,3712,4350,2182,4641,2425,3206,2564 | cost: 681.8201319999844
task: 2376,2793,901,2950,1530,2978,2070,3961,2145,3044,3801,4083 | cost: 751.3983000000053
task: 3588,1416,735,3719,3931,4300,3610,1583,3059,4136,4305,2848,599,2994 | cost: 1566.3710620000302
task: 5058,1260,116,3102 | cost: 226.723477500002
task: 558,2318,1050,2818,3224,3278,3696,2370,3499,2268,4184,3926,215 | cost: 794.068222500016
task: 4771,563,3938,3927,3726,5063,5060,12,4174,4782,4945,1293 | cost: 1197.3904094999739
task: 2084,133,2248,1626 | cost: 699.3926419999639
task: 975,2614,203,4832,4705,4071,1634,477,208,3415 | cost: 1112.216323499979
task: 3310,1946,1186,2388 | cost: 246.3922745000673
task: 1985,4516,1909,4412 | cost: 216.58257699999695
task: 3710,3721,533,2952,5127,2825,954,1716,3000,1265,3801,3531,2956,2719 | cost: 801.9081224999809
task: 2492,3130,1353,4454,550,4259,1309,3404,5107,1814,3817 | cost: 256.43859100000554
task: 4983,3397,985,4738,1915,3829,4291,586,571,4335,1805,4375,1605,3521,3127 | cost: 2391.5575735000516
task: 2868,1878,909 | cost: 804.2897775000597
task: 2911,3987,4495 | cost: 20.51863899998807
task: 1798,1422,2295,4607,3618,2538,3844,4553,2717,4145,4150,2432,1494,1793,880 | cost: 1472.892838000007
task: 3087,168,688,1997,880,4522,968 | cost: 1942.7267544999722
task: 2717,3068 | cost: 184.23512850000634
task: 4449,502 | cost: 51.29881249996515
task: 3856,4112,4879,2567 | cost: 348.6480684999833
task: 4362,1684,3088,92,3939,3349 | cost: 314.3363495000244
task: 941,3453,2456 | cost: 232.18500199999426
task: 2300,3388,2009,3031,1870,4188,1801,3852,4971,1006,4573 | cost: 1161.7015630000083
task: 1009,2920,1736,645,4813,2010,4683,4065,4954,4387,1898,2855,3166,1968 | cost: 522.7186635000294
task: 3371,4666,4803,342,2058,4496,1444,3229,3554,2704 | cost: 607.5595780000071
task: 3798,1816,57,4681,3361,3158,4336,4318,3887,3074,3225,3988,4595 | cost: 1359.9729375000038
task: 1317,3694,2788,3419,3451 | cost: 260.95470749999095
task: 2051,3835,4402,3950,1703,1538,3645,3428,775,2681 | cost: 530.3743220000001
task: 3801,3001,3577,2541,4380,3255,2870,3195,2396,3097 | cost: 1315.8386250000262
task: 4728 | cost: 114.03306300007898
task: 2136,3551,1267,5121,3246,3330,4238,4640,4236,2109,4037,5066,2028,4022 | cost: 1008.3224045000065
task: 2852,2589,2159,3029,2728,3853 | cost: 348.707601000001
task: 3493,3874,4703,4698,1425,2686,3026,4096,533,4469,3536,758,3209,4571,3453 | cost: 905.7035050000195
task: 2734,3010,4434,3056,1412,2983,889,1873,4938,4835,996,1071,4321,4606 | cost: 834.3375685000183
task: 3737,1819,2576,590,664,3995,1002,387,2164,4485,2500,4677,1860,3667 | cost: 1196.4131194999936
task: 3090,3469,3650,1978,4349 | cost: 538.3377769999811
task: 2886,5081 | cost: 36.58335249997435
task: 4380,2149,618,3713 | cost: 482.7592144999926
task: 3310,3116,778,74,3403,3194,3313,2935,4108,1641,1997,473,2319,2890 | cost: 873.3089650000352
task: 3285,2170,3965 | cost: 75.57232500005284
task: 3584,4162,662,3834,3518,2780,2440,48 | cost: 530.7986519999872
task: 3048 | cost: 1.2914815000044655
task: 676,1080,4159,1233,3866,3543,4912,4641,1393,3807,1833,4316 | cost: 307.2696445000247
task: 3854,2492,665,4275,2992,3793,946,1446 | cost: 635.7864429999722
task: 2626,4648,2305,2309,2969,4554,2686,2243,2671,4279,2691,940,1354,2294,5058 | cost: 956.8266130000325
task: 993,3967,2504,2444,5132,4948,4020,4443,3456,1891,4195,2232,1949,1748 | cost: 1037.2046075000299
task: 3765,3667 | cost: 183.72479149996934
task: 949,2247,4723,2659 | cost: 790.1579625000181
task: 4355,1214,960,2874,4059,4327,4294,98,3035,986,1090,2662,2304 | cost: 1139.9333959999467
task: 1418,97,1397,3001,550,2061,2475,1843,3793,2065,2426,3174 | cost: 255.10096549999162
task: 4296,3342,2601,3496,4597,2473,68,733,2343,3033,2025,3216,4924,3653,3355 | cost: 1465.5069634999904
task: 2690,4144,2358,2160 | cost: 594.3288550000148
task: 4977,3393,3197,2223,3313,4993,2913,2977,4533,4548,3936,3662,4625 | cost: 587.8963645000113
task: 3618,4763,2688,3440,2878,49,3424,4132,3995,4547,2904 | cost: 2450.5321164999714
task: 4424,1691,3399 | cost: 63.7923365000006
task: 3990,4909,1422,3935,4171,559,4571 | cost: 240.49190199997383
task: 1026,4397,4118,4925,3460,3486,3176,662 | cost: 1512.9859540000439
task: 4553,945,778,5009,1004,3231,2123,3092,4380 | cost: 1185.2572015000646
task: 3835,1117,2132 | cost: 198.22749449997445
task: 3825,3882,2732,4899,2157,2144,1948,4298,989,3977 | cost: 920.4877880000026
task: 4198,2567,1608,4030,3451,1557,2021 | cost: 965.445873500073
task: 3076,3260,3762,3231,1504 | cost: 382.36466850003126
task: 1693,3897,1789,4600,1139 | cost: 398.88005550000116
task: 2048,1037,4469,3975,2384,1278,3228,1004,5122,3542,4873 | cost: 601.8084170000293
task: 5099,4624 | cost: 37.00562749997971
task: 964 | cost: 70.51381100001208
task: 3698,3985,3501,4865,1398,4510,4774,1321,3605,4754,1047,2552,2429 | cost: 728.0941865000159
task: 4977,2380,4883 | cost: 324.87127799998916
task: 3537,4831,4857,4249,1845,4541,170,3348,2921,4789 | cost: 598.459862000027
task: 1496,3784,2679,3035,3888,2615,3591 | cost: 393.9009960000135
task: 3796,4080,3707,3015,3036,4376,5027,1904,2438,2862,4768 | cost: 324.8456430000033
task: 2650,4373 | cost: 198.12896849992967
task: 2559,885,3919,4947,3304,4423,2934,954,751,1144,1788,4963,3902 | cost: 1397.3149354999919
task: 4711,4118,3349,232,4575,4138,3790,2169,1821,2128,4859 | cost: 1192.568499999993
task: 3699,5078,4175,5013,1830,2138,3704,203,3289,3541 | cost: 1363.8214645000062
task: 1180,1803 | cost: 629.0833615000224
task: 2533,1052,2915,1371,3634,2306,4311,3733,3300,4114 | cost: 663.4156970000049
task: 4209,1523,513,3676,3606,4766,4955,3189,75,3484,1683 | cost: 1046.1305100000118
task: 1011,1677,4560,2994,3180 | cost: 356.66556500001434
task: 2685 | cost: 427.5063830000363
task: 1781,4719,59,3601,3104,749,3258,4151,977,2261,4155,1239,2470,5130 | cost: 2706.064900000001
task: 3006,282 | cost: 239.96231550000857
task: 2231,1570,3004,1383,2706,4476,4168 | cost: 394.0129714999898
task: 1314,3156,4375,4195,662,1805,5054,1689 | cost: 671.5248640000482
task: 2738,3152,3234,3109,652,1476,859,2314 | cost: 1672.4499980000473
task: 4117,130,3751,2951,4616,1149,3637,4626 | cost: 459.0481639999666
task: 2592,4236,3366,1159,1144,4678,3237,4957,579,4005,3166 | cost: 1113.6484804999895
task: 4422,4397,4107,2224,3038 | cost: 530.1906724999412
task: 4669,5115,2225,4714,2835,2684,2308,1809,2899,3429,2217,3926,4739 | cost: 268.10850200001823
task: 613,2887,1413,594,2288,1046,4477,3334,4711 | cost: 597.7498044999834
task: 2683 | cost: 3.9216664999344175
task: 3375,3994,1721,1892,4123,1035,3697,2649,910,554,5069,1640,3728 | cost: 940.7430024999712
task: 2491 | cost: 4.0476255000498895
task: 5007,2092,205,2641,4523,4976,4697,4479,681 | cost: 717.241185999967
task: 3683,1028,3646,883,3546,1124,4825 | cost: 1125.0178050000272
task: 3191,4567,5030,3676,4116,1645 | cost: 510.56432350003433
task: 2913,115,4066,4675,4037,4296,2560,1007 | cost: 1099.8243184999978
task: 3257,4269,1917,3133,2094,4136,1558,3222,2444,2692,4212,3466,2913 | cost: 1448.367623500019
task: 3049,4406,2704,1834,3758,536,4315,3153,4630,3137,2177,870,4332 | cost: 1107.7537044999985
task: 3400,2618,1141,4881,1495,2422 | cost: 478.51326449995213
task: 3575,5070,2916,2807,3938,3504,4461,3895,2348 | cost: 412.41996250005286
task: 1306 | cost: 3.7187794999908874
task: 2039,4477 | cost: 17.681604000017614
task: 4408,4348,2763,3962,4500,3579,1450,5,4238,1501,1112,1342 | cost: 1064.0606240000352
task: 4267,5038,4866,4096,113,1785 | cost: 293.6759164999785
task: 5045,3338 | cost: 137.57043850000628
task: 1294,2607,4335,185,4634,3342,1012,2358 | cost: 930.8848430000012
task: 1643,4848 | cost: 19.989250499975242
task: 1601,196,3852,3650,4659,901,2998,2322,1767,861 | cost: 1647.043068500011
task: 1951,2482 | cost: 204.41290999997364
task: 2322,728,3837,4968,1322,1300,2230 | cost: 662.5126944999806
task: 4019,1773,2911,104,4915,1924,110,572,951,4628,3289,2800,4025 | cost: 805.5506900000182
task: 1313,1446,3529,1004,3536,4526,4754,89,1765,4696,4708,2730,3528,2333 | cost: 2297.6449985000045
task: 4821,4571,142,3640,4827,4326,1314,3441,4747,3394 | cost: 526.7889485000978
task: 963,4317,3972,4617,3162,2841,3144,2139,2990,2777,3841,4382,4778 | cost: 237.93521799996142
task: 4168,4798,1405,1156,2798,3135,2890,907,4270,4932,662 | cost: 490.9364594999488
task: 4959,4148,3051,3447,4688,711,4252,3426 | cost: 1136.7534174999037
task: 1628,2611,3005,2142,4082,564,1443,4736 | cost: 339.82940350006174
task: 4421,2362,1008,97,1872,1707,3253 | cost: 292.494035499999
task: 2907,4051,3803,2461,185,2701,4311,2247,2935,3669,2163 | cost: 1192.5382509999736
task: 3429,1666,2134,209,4937,2332,3499,2943,4883,2611,2090,2856 | cost: 1014.1254395000487
task: 3168,4064,1430,3566,368,954,1071,1859,3015,4888,3804 | cost: 378.8172575000317
task: 3972,1762,127,4375,3441,1936,3868,1045,3547,4605 | cost: 1298.7716659999933
task: 3648,1127,1310,2526,4499 | cost: 83.09151449998353
task: 3451,2789,4065,386,3238,2502,4729 | cost: 361.5828389999933
task: 3691,1663,4153,3232,2877,5107,1529,3843 | cost: 103.07946049999828
task: 160,3831,2085,2663,4974,1372,2680,6 | cost: 1135.3359230000706
task: 2880,4466,708 | cost: 2008.0232420001494
task: 2816,2464,2770,4393,3060,2811,3477,2367,4711,4365,4613,202,749,2693 | cost: 1840.3339965000214
task: 3406,1376,2426,823 | cost: 217.18758899999102
task: 3608,1008,2231,2895,4564,3185,3099 | cost: 393.5907600000519
task: 670,5071,1602,2354,4888,3910,3530,534,4630 | cost: 672.5938829998768
task: 4239,3462,3915,3772,1899,4577 | cost: 972.6774779999232
task: 1887,2927,2635,552,1728,3210,2130,2396,173,2652,1848,2043 | cost: 1879.9488960000872
task: 1415,5013,2556,4121,143,1406,4431,2043 | cost: 362.1777010000642
task: 4134,3631,112,931,3350,1090,4168,4096,2407 | cost: 1411.499225499938
task: 4939,74,4403,2102,2237,3348,3467,3773,1509,2691,1753 | cost: 1090.1596070000323
task: 3610,679,2856,3512,3445,3160,85,1190,982,3076,3524,4044 | cost: 1021.539913500078
task: 1521,3069 | cost: 8.436795999955393
task: 3174,4437,3982,4209 | cost: 537.7614384999561
task: 2487,3685,1930,1485,520,5091 | cost: 314.3096774999776
task: 3574,2633,4674,3520,3973 | cost: 190.31102300004932
task: 2279,3573,3611,2761 | cost: 352.2266979999813
task: 4480,4886,918 | cost: 368.9629854999339
task: 4238,3442,685,2920,4004,3005,1914 | cost: 190.65532100012206
task: 3309,1230,3485,4210,1765,1867,634,3500,2965,1500,1127,1052 | cost: 1112.4842755000373
task: 4353,4527,3070,2502,2866,1362,4142,2144 | cost: 442.7108654999756
task: 2012,2279,2513,2394,3024,3449,641 | cost: 245.12699449996944
task: 1841,3314,3944 | cost: 709.3465404999506
task: 3726,4229,3631,2933,2040,4961,3336,5015,3993,1878,580,112,984,4021 | cost: 978.7225279999348
task: 4999,3133,3816,1118,1525 | cost: 365.4144914999051
task: 163,4232,4028,5111,3461,3370,2284 | cost: 404.64240899984816
task: 3057,4778,1810,2474,4006,1023,4952,2847,906,2653,979,3639 | cost: 789.7142494999798
task: 517,2982,2709,4207,1347,2427,3342,4880,5121,5013 | cost: 452.8201294998553
task: 687,3935,3392 | cost: 908.9766770000551
task: 3316,4136,1740,3402,2353,4123,2871,3411,1503,1785 | cost: 1093.7918204999733
task: 43,2096 | cost: 538.80912850002
task: 889,4863,3480 | cost: 176.81229699996948
task: 2392,4682,4517,3931,4428,247,1409,588 | cost: 236.10641100003704
task: 2615,1705,2196,1156 | cost: 241.9542420001335
task: 4358,1314,1095,1801,4234,3496,3935,3203,4426,639 | cost: 1041.0428384999477
task: 1914,4586,388,4888,3342,620 | cost: 484.20821750005416
task: 3003,4432,3106,3700,2830 | cost: 140.60339799993926
task: 3090,1283,580,4400,256,4156,1923 | cost: 627.6528179998877
task: 4080,3994,2109,4134,3907,589,3006,1930,268,4536 | cost: 727.4697384999627
task: 3859,2990,4683 | cost: 67.08107200006452
task: 1151,4262,2908,2148,4168,4722 | cost: 155.43864750009107
task: 3020,3810,2892,2455,4729 | cost: 261.9685045000324
task: 1799,2448 | cost: 243.15595950008628
task: 2046,3600,3357,4864,859,1634,1253,146,3956,4325,3284 | cost: 1923.6101220000137
task: 3121,52,2188,2802,4226,3362,2211,1487,4228,1410 | cost: 467.16293049996693
task: 4913,3389,705,1037 | cost: 94.66879249998783
task: 3491,3881,1616,2359,3468,3371,5112,3885,3428,893,2515,4578,4641,4732,2986 | cost: 1156.0654910000494
task: 5062,3587,445,1041,3420,3247,3045,4652,850 | cost: 397.49163499993756
task: 1204,3119,778,4454,4458,3210,1821,3556,264,2877,3128,1508,3432 | cost: 583.3285405000197
task: 608,4674,3021,4223 | cost: 307.7818305000619
task: 3407,931,3684,1853,2401,4523,3368,1316,1491,4939,3932,4194,681,4139,1531 | cost: 1585.457578000046
task: 4434,4746,2943,4352,2381,4182,3332,2684,2475,3380,4677,3860,2671,2097 | cost: 430.1829490000273
task: 1736 | cost: 71.20761099997708
task: 127,3708,3012,2116,4522,4739,3163 | cost: 657.5047584999538
task: 4124,1499,2406,1498,4034,2374,3264,868,3036,1066,3841,2813,2467,596 | cost: 2906.8833525000173
task: 500 | cost: 20.71301900002709
task: 2077,2118,933,513,4447,3145,2671,2364,3763,2567,2657,3572 | cost: 967.9336349998948
task: 4472,4196,760,4565,1017 | cost: 349.826329500047
task: 3595,4649 | cost: 38.57899249999264
task: 95,3615,4332,2065,1426,4875,4486,651,4255,4069,45,140,1507,2646 | cost: 1318.9650299999585
task: 1913,4290,2290,4242,2783,4526,4143,713,4289,4927,2432,4360,664,2476,4102 | cost: 1300.6446549999282
task: 1797,3971,2373,3704,4883,2352,714,3617,1906,1512,4763,4832,3317 | cost: 755.1925600000686
task: 4512,869,3192,2191,142,3138,3539,2558,4508 | cost: 503.5722349999787
task: 4763,112,961,2448,2465,3556,4613,3914 | cost: 553.9110099998652
task: 2641,3285,4923,1719,2738,1838,2798,4072,2728,1137,2509,1129,3256 | cost: 802.8187120000894
task: 125,1521,4959,2887,4899,3440,2380,4924,2560,951,1721,5129,1902,2687,3814 | cost: 2081.219771499832
task: 4187,4420,2392,3981,3133,4661,4692,2533,784,517,4733,3093,2948,3758,1191 | cost: 1092.7641490000042
task: 4590,3567,2414,3843,4456,4056,444,3425,3954,1516,689 | cost: 2768.5810990000164
task: 2343,2284,3692,1439,1824,1767,3601,3674,942,1823,4039,2792,908 | cost: 1313.482774499903
task: 1440,1171,4880,1041,4961,2724,3811,4102,3058,4604,3735,1374,2156 | cost: 445.00244349990226
task: 201 | cost: 16.59857549998378
task: 1066,3752,2940,1506,2707,1957,3761,3102,3315,2075,4264 | cost: 337.62978449999537
task: 1874,4899,3309,4684,2625,3168,1440,2329,931,4116,3215,4527,3997 | cost: 1449.0759884999989
task: 3433,2737,2792,2997,3879,2035,1280,4036,1881 | cost: 222.80308250014969
task: 2403,2967,932,3779,1126,3157,3091,3959,3871,2190 | cost: 1209.667154500039
task: 3524,2480,4556,112,3606,2922,4147,4550,1439,965,1749 | cost: 729.4886889999361
task: 3626,2365,4552,1614,1706,3298,751,1284,1977,3863,4827,1903,4904,3117 | cost: 1443.3330585000022
task: 3811,3297,2757,1184,1591 | cost: 452.87823349997325
task: 1618,4478,865,3799,3553,4824,2594 | cost: 1541.4152334999471
task: 3563,3298,5047,4988,3027,2259,1817,1325,3393,4711,3710,1845,3010,3558 | cost: 1572.9290545000367
task: 1433,1854,1923,2776,1638,2995,3204,2082,4872 | cost: 162.70934850001595
task: 1790,679,1293,1917,2070,2408 | cost: 628.4118380000336
task: 3874,575,4363,3197,2552,2984,3288 | cost: 567.8998055000193
task: 5032,1343,2839,4329,3047,1905,4064,2375,638 | cost: 280.6292634999181
task: 4095,4133,871,3283 | cost: 624.5177554999373
task: 4375,3415,3602,2745,5090,1772,122,1060,2783,133,2494,3472,4194,3557 | cost: 1779.2311719999816
task: 1739,3386,3493,3041,5133,3455,2112,230,4711 | cost: 893.6025169998629
task: 4020,3979,4378,2451,1823 | cost: 182.0761464999805
task: 3737,4222,3085,3518,5075,2733,2399,2086,4921,2547,108,4305,4580,3702 | cost: 856.7943040001182
task: 4939,2740,1600,2205,2774,1984,2926,4532,4633,2948,587,4648,4524,1979,1835 | cost: 594.1109705000827
task: 1663 | cost: 9.941063500036762
task: 4740,4342,2599 | cost: 512.1839460001638
task: 1528,4840,3125,3140,4839,2882,964,3480,4253,923,4670,2446,1647,3329 | cost: 715.7501894999996
task: 4649,747,1882,4579,3374,4905,2854,1780 | cost: 704.2933149999726
task: 1679,4478,3616 | cost: 152.94081699994422
task: 4799,2525,4928,2240,961 | cost: 1089.9152409999715
task: 581,167,4632 | cost: 200.95547599999009
task: 1231,4086,3994,3433,267,4362,3375,2036,3059,3789,34,4234,2747,3551 | cost: 678.2871990000103
task: 3423,4532 | cost: 23.573933000079705
task: 4427,2523,3182,3413,4521,3498,3763,1127,2997,3823,3724 | cost: 262.01924099996177
task: 316 | cost: 676.9064900000785
task: 3917,3449,4991,4403,684,4205,3331 | cost: 173.68260899991128
task: 5114,1978,3939,5048 | cost: 148.91762699994615
task: 1279 | cost: 109.52258750000965
task: 5060,4705,2055,2417,3963,4205,3172 | cost: 303.03920300002574
task: 2131,4442,2123,1909,3236,4384,4952,1430,1057,3113,2289,3654,3211 | cost: 417.6619485000401
task: 2824,3755,2341,5096,1118,3226,2732,2604 | cost: 595.1007720000234
task: 1448,235 | cost: 156.23583750004855
task: 5097,2332,4710,4020,1430,2726,203,4990,1699,2275,2968 | cost: 1154.205860500042
task: 3809,3179,3691,3331,4006,4195,3800,1356,4803 | cost: 535.2451535
task: 3452,2521,1007 | cost: 250.32617049998862
task: 3681,206,142,2667,3790,4952,1222,1510 | cost: 590.5056420000392
task: 3332,4905,2045,3750,2543,3712,3242,4733 | cost: 280.4824090000011
task: 1621,1806,2577,4768,1193,4547 | cost: 289.2445420000058
task: 1566,3260 | cost: 758.403001500028
task: 3441,3625,3825,3662,4848,2628,3533,9,565,3938 | cost: 502.9643230000147
task: 1484,661,1677,3579 | cost: 373.3309145000021
task: 4003,1145,880 | cost: 163.41913750000003
task: 4467,3410,3005,2721,4286 | cost: 332.49274549996244
task: 4739,4927,4777,5048,2441,4591,3309,2678,5069,4181,2092,1174 | cost: 250.1161545000059
task: 4068,3761 | cost: 3.3949204999998983
task: 34,1808,1471,1360,5125,96,576,4144 | cost: 915.4415589999871
task: 4877,4684,808,3392,1756,3292,3463,271 | cost: 2093.863193499942
task: 4440,4439 | cost: 125.21512799992252
task: 3670,132,3565,2895 | cost: 546.8389970000089
task: 4338,2285,4356,1455,2176,873,2389,3216,3750,3357,4268,2179,1914,2676,4980 | cost: 1206.1562249998588
task: 4815,4361,899,1430,4673,1440 | cost: 369.2317234999791
task: 1677,1818,2365,3272,4535,867,2814,4352,2684 | cost: 503.5566694999716
task: 1823,3995,3855,5036,3403,1449,1056,3780,96 | cost: 508.28607350001676
task: 1734 | cost: 210.59096400006183
task: 4101,4624,3310,2195,2374,4270,2155,1410,960,5111,4416,4782,2563,2127 | cost: 347.4238479999485
task: 4398,1819,880,705,4510,3894,4659 | cost: 297.79757200003587
task: 3377,4017,5095,4314,3925,2573,2133,4736,4102,919,2270 | cost: 696.9905769999514
task: 3369,4461,1540,2375,4924,2369,44,2152 | cost: 3330.5018419999897
task: 2860,2088,2620,3836,4024,5121,1767 | cost: 361.6200729999264
task: 1515,5050 | cost: 61.30821099998229
task: 2714,1493,3672,1522,4984,1430,5018,2645,4897,652,3120,1642,402,3876 | cost: 725.3071714999351
task: 2747,2469,3115,968,331,4715 | cost: 209.76226300012968
task: 2780,1894,2863,2361,4252,3003,2022,3427,2683,1789,3136,3042,4594,3901,4213 | cost: 988.8453070000196
task: 1106,4823,3545,2468,5055,1021,3389,1892,3937,4890,4622,4504 | cost: 936.348758500003
task: 29,737,3317,2741,3421,942,4801 | cost: 2110.543332500015
task: 2537 | cost: 11.54473600001893
task: 4186,3568,1974,536,4515,1631,3786,1343,2731,2590,2186 | cost: 979.4323774999611
task: 4417,1141,3576,1572,1590,3147,3926,3477,4177,4514 | cost: 971.6354910000291
task: 3492,491,1804,2431 | cost: 624.946909000073
task: 3386,2252,4802,399 | cost: 324.18064649993994
task: 4267,4325,3048,3119,2179,4268,1859,2949 | cost: 199.44825699985813
task: 4373,3028,2181 | cost: 213.11169299997346
task: 1321 | cost: 14.668607999965388
task: 4520,3330 | cost: 443.3409020000454
task: 5033 | cost: 10.128592499995648
task: 3859,2965,2813,3772,3269,3461,3085,1928,4783,2742,1171,2229 | cost: 706.6397324999798
task: 3780,209,900,4533,3942,5069,4255,5029,2267,1423 | cost: 2151.215132000061
task: 2010,4140,3844,928,535,1016,1531,2666,3524,2279,3490,2859,2193,4367,3493 | cost: 1608.7961325000606
task: 4011,2783,1913,5104,3006,585,5061,637,919,1360,5033 | cost: 892.1393834998526
task: 1839,4559,3722,1617 | cost: 190.30606849992182
task: 4014,2360,4562,2625,3659,4087,4068,642,4602,3178,911,4776,4381,2182 | cost: 727.2494224998809
task: 1175,2900,2921,2366 | cost: 415.1780109999663
task: 4022,3326,1176,1000,2132,1613,2061 | cost: 91.155705999995
task: 3902,134 | cost: 766.6046435000453
task: 1955,3196,2741,2659,1850,3044 | cost: 899.7339805000593
task: 2992,2461 | cost: 229.08103949998804
task: 4252,350,555 | cost: 261.54901550000886
task: 4327,3892,4822,727,4315,4770,2951,4922,2009,5116,1280 | cost: 1344.7520710000163
task: 3654,3940,592,3807,2451,906,4437,1366,1795,3727,4923,1889,975,4012 | cost: 1456.1859709998544
task: 1180,4495 | cost: 245.19090850003522
task: 965,4147,4166,4772,1996,1415,2049 | cost: 334.55283700004657
task: 4946,2359,3635,4081,4329,3273,2872,1701,3787,1090 | cost: 458.40829899998425
task: 3841,4013,2877,2233,3378,2745,2576,2592 | cost: 249.8357939999778
task: 4072,3290,144,181,3576,4993,5048,2460,559,2551,4616,2600,4409,1389,3993 | cost: 994.046002999994
task: 4217,4008 | cost: 24.65679400006593
task: 1803,2981,4315,3234,4759,3689,3326,2622,3215,5041,4388 | cost: 842.1613994999007
task: 4076,4903,3301,4882,2719,4722,2292,3766,5095,1415,2559 | cost: 567.5591169998597
